Precio,Habitaciones,Piso,Barrio
349728,3,7,24
737238,5,12,6
831031,2,4,39
354674,2,7,46
459538,2,13,41
923417,2,9,20
991277,4,6,20
595184,2,19,39
331989,3,11,20
809452,4,2,44
943978,1,10,21
41823,2,13,22
521171,3,13,49
758695,2,4,40
702245,2,18,33
801826,2,14,45
485130,1,9,18
687707,3,5,13
527372,4,20,9
962103,5,2,8
709187,4,5,34
418004,3,10,40
765084,4,3,46
945101,4,6,13
487802,4,20,42
639006,3,3,8
870374,5,20,26
389758,5,2,29
963822,3,3,1
322924,3,17,34
968181,1,1,9
66886,2,9,4
107545,4,7,49
813765,3,9,33
269105,4,13,20
567547,4,10,47
586412,4,18,49
376421,4,19,5
439893,4,17,42
955821,1,9,36
453930,4,3,18
379366,3,15,14
403096,5,17,22
197457,4,14,3
547183,2,4,6
799343,4,3,35
963878,4,15,13
837631,5,10,8
108917,5,13,17
632911,4,12,13
802619,3,17,32
579314,3,12,33
825148,3,11,12
604743,5,17,30
252435,4,4,21
494013,5,10,36
933486,3,14,25
776612,5,14,45
906861,1,19,18
90659,5,10,6
704947,3,9,49
579600,5,3,50
105773,1,7,48
65331,2,20,12
695112,4,12,18
591902,1,11,17
107045,5,13,38
656729,3,13,45
245674,2,5,8
597449,1,10,33
435481,4,19,15
208420,2,11,38
790470,3,6,8
425480,3,20,1
510651,1,9,33
664790,4,9,25
791667,2,12,23
322763,1,4,39
604284,1,11,41
85923,2,14,39
62657,4,18,49
252620,1,20,48
48419,1,9,27
763579,5,13,47
450990,3,20,2
742910,5,6,31
992718,2,19,27
640483,4,18,15
210819,2,13,35
491064,4,12,47
949081,1,15,24
505623,1,10,12
780298,3,4,18
670630,3,20,15
544342,4,12,41
423219,3,16,34
618056,1,18,18
841381,1,14,43
526467,3,12,34
594626,3,4,47
312894,5,12,31
216949,2,6,28
890580,4,1,24
304834,4,10,30
798261,2,5,33
226058,2,16,27
339704,2,7,27
833299,2,1,12
143846,3,16,19
830038,2,5,15
865868,4,6,6
817318,3,2,45
164328,1,9,14
33064,2,17,44
870257,1,1,26
76496,3,1,26
819213,5,9,18
103358,3,19,32
411407,1,7,15
979074,4,12,32
838997,3,15,42
832100,4,13,35
963948,4,3,37
759263,5,2,16
782712,4,13,28
690720,2,11,4
994415,1,16,46
210701,4,6,8
631345,2,18,16
216494,4,11,23
629959,2,7,19
533431,1,10,38
332244,4,10,49
741453,3,1,13
484734,1,7,7
257674,3,16,30
168347,2,20,14
38128,5,17,35
950907,4,3,15
344945,4,16,25
213563,2,20,16
367359,3,5,28
364517,2,16,29
526488,2,2,15
119854,2,16,21
602937,4,9,35
478150,3,11,15
285589,5,16,26
504035,3,15,36
667143,5,7,28
338441,3,8,32
456083,3,15,42
659238,3,4,29
475622,4,15,13
936298,1,5,13
185479,1,19,49
287722,4,14,42
877172,2,6,12
633059,1,7,7
462334,2,3,26
929036,4,1,30
935588,1,17,48
788734,1,8,49
489059,3,14,14
841627,2,7,41
876601,5,13,39
178346,3,3,41
144400,1,14,26
762905,1,15,11
193144,2,5,39
291904,5,4,30
842137,4,14,27
56180,2,20,34
624787,5,5,29
249372,4,19,50
273783,3,6,24
849662,2,20,6
591147,4,1,19
348401,4,20,39
490403,1,5,50
593063,5,11,3
539278,2,18,35
243826,3,8,33
769691,3,17,22
185941,4,2,45
229736,2,8,36
424847,2,15,35
567022,5,19,14
384532,5,6,47
153357,5,2,33
454173,2,20,4
827373,5,19,1
108145,4,13,33
465985,1,7,28
371336,1,17,35
226952,3,17,23
58556,4,14,22
53475,2,4,3
594474,3,20,14
804854,2,19,9
514540,1,3,25
245424,2,17,13
171849,3,2,21
383059,1,16,30
582393,2,4,24
277136,4,20,41
721209,2,1,13
173717,4,12,17
382320,5,5,37
233955,4,8,50
840794,4,4,4
392935,4,19,30
657005,3,7,41
43095,3,8,1
439167,5,5,13
185659,1,5,33
494950,2,14,23
324344,2,11,39
441626,3,17,4
467030,1,3,18
487646,2,7,18
667641,5,13,9
212679,3,4,25
238376,2,12,20
562321,1,12,31
914515,1,18,16
384289,4,20,11
372073,2,1,48
377554,5,9,14
127119,5,20,35
695735,2,6,18
698405,5,17,42
866460,5,7,36
76887,4,8,40
117704,5,19,29
898581,4,4,47
522992,3,11,39
913117,1,13,50
690317,4,11,45
37001,3,5,49
199430,4,2,32
753065,1,11,2
510120,2,4,17
287711,5,15,20
518488,5,2,48
96667,1,2,28
691645,2,18,40
341994,5,6,12
462330,3,7,43
613749,1,3,8
407044,5,19,37
382263,2,19,39
732293,1,11,34
719990,2,2,38
377882,3,14,33
531360,5,3,25
642509,3,13,35
71036,5,8,32
579274,2,13,33
342553,4,15,31
700210,1,18,3
888930,5,1,37
430818,1,2,50
298827,3,18,48
199823,2,9,18
571037,1,13,19
515897,2,8,45
719771,5,20,2
151009,2,19,31
532771,4,12,49
565557,1,2,4
519815,1,1,26
618367,3,4,39
613190,4,11,7
338272,3,19,48
239759,3,12,21
69655,4,3,11
112948,3,1,20
27316,2,5,11
161008,1,7,7
422886,1,6,31
260085,5,17,25
925278,1,4,30
998430,3,6,6
489170,1,14,3
452763,1,4,28
43700,1,6,2
300839,2,1,23
974466,1,19,4
104421,3,16,40
588341,3,14,36
181609,5,3,49
444311,2,13,9
699545,4,9,32
916885,4,8,27
292672,5,6,46
596688,5,10,9
585385,1,18,6
665381,1,15,14
588016,4,7,9
237677,1,3,22
75183,5,8,14
339879,4,10,44
233101,2,15,19
254348,1,1,2
520718,5,7,45
726731,5,5,24
372180,3,3,12
697255,4,16,28
588976,4,8,23
984336,1,5,13
297213,4,5,26
736074,3,16,40
439009,5,8,6
466336,3,6,15
591034,2,20,32
20903,4,5,3
524715,1,17,8
964743,3,1,16
235509,5,20,28
986940,2,14,10
391648,1,12,15
872513,5,5,42
830182,4,4,22
69144,5,1,50
272955,5,18,32
111660,4,9,8
596732,4,7,43
427526,5,1,10
149802,2,3,31
445151,2,2,16
226829,3,12,34
330033,1,20,44
527600,3,13,39
497759,1,7,43
622316,3,20,25
532074,2,16,15
111137,3,12,48
400539,3,13,26
960298,4,4,18
811895,3,7,31
686459,5,13,40
355335,4,10,35
563504,4,8,16
597175,3,17,32
785524,4,10,4
103088,5,15,14
952485,2,10,15
35805,1,2,12
26518,5,12,10
771985,2,8,20
160863,2,10,18
295172,3,11,10
335956,5,6,32
71951,2,16,8
893249,3,4,46
642279,3,19,14
82256,4,1,38
767574,4,18,15
746572,1,4,19
800129,1,8,3
279941,3,12,34
591054,2,19,36
638381,3,17,14
381090,1,2,14
114426,1,18,32
698811,1,18,12
461263,3,2,27
426129,4,17,17
175035,3,6,3
883314,1,14,4
813568,1,8,29
402084,1,11,16
809691,1,10,43
527218,4,4,4
390480,4,15,14
353614,5,4,45
895874,1,11,15
460784,2,19,12
270846,1,1,17
93420,4,7,7
836367,3,2,46
797637,5,17,11
437807,4,1,49
189805,2,10,28
322700,5,19,24
215090,1,15,4
519807,5,5,11
665582,4,3,37
106450,1,7,40
918545,5,12,28
175406,2,19,20
244539,1,15,20
81199,2,3,31
635973,3,6,42
407230,2,14,40
697494,1,20,18
90443,1,12,1
910906,1,3,1
286032,5,17,23
540338,4,6,2
689088,3,17,38
489821,4,12,32
359518,2,4,16
231298,3,9,1
93957,1,15,50
771717,1,13,4
395178,4,8,48
388079,3,14,36
820095,3,2,44
960762,1,14,25
486665,5,15,31
576669,5,9,13
811058,2,8,23
914151,3,5,14
285939,4,11,41
575621,2,2,7
193412,5,20,16
885472,4,19,42
919146,1,16,19
455505,2,5,45
268045,5,8,22
200339,3,10,21
630102,3,18,23
288980,3,5,22
632030,1,5,41
785327,1,3,32
885505,4,5,37
288279,3,14,50
979549,5,19,7
275741,2,7,34
240349,5,6,16
337166,4,3,7
48935,2,7,5
868489,5,6,43
58272,1,6,2
150621,3,2,15
378821,3,8,13
175723,2,8,9
383415,4,4,31
23579,1,2,10
974283,4,8,26
668766,4,16,32
198415,5,17,39
323595,2,20,26
881057,1,8,15
376570,2,2,41
320154,2,3,8
166962,2,1,6
52323,3,6,20
969456,4,4,40
534650,1,3,17
616464,2,8,31
570513,4,7,14
225947,2,5,45
351046,2,9,40
190469,2,16,28
754647,4,14,50
600854,1,20,34
973854,4,7,13
900797,5,18,5
453261,4,18,33
462674,1,20,24
598516,4,17,17
703048,1,4,12
719126,2,7,28
925057,3,16,25
802823,4,14,31
653147,1,7,41
975024,4,17,34
987692,3,1,47
458010,5,9,43
325341,4,17,24
936384,1,4,40
961022,4,3,10
244217,1,3,8
877670,2,5,22
447701,5,8,24
275208,2,1,21
488455,3,4,37
828497,4,1,5
457155,4,1,20
88970,3,7,43
599639,1,14,17
823878,2,13,17
749327,1,16,46
249299,3,4,50
633967,1,3,24
684528,4,19,2
485592,2,11,45
946411,4,18,38
131251,5,12,48
171733,3,13,8
403871,4,4,31
490654,2,9,9
924058,4,5,29
989956,1,19,25
574513,4,7,44
260532,2,20,35
675103,3,12,1
911349,4,19,28
664914,1,5,12
255044,2,14,36
100242,3,5,42
976332,4,9,16
983492,1,12,37
181461,4,3,32
467995,4,1,19
761337,2,1,46
107258,3,4,29
857786,3,11,36
603418,3,10,50
806837,2,11,3
614397,1,14,4
517074,3,20,9
101378,2,4,28
655514,5,18,50
244001,5,17,34
269200,2,1,24
688135,5,14,31
865715,3,5,5
686332,5,11,39
672127,4,12,22
681995,5,10,48
965003,3,18,3
326270,4,18,10
28395,5,10,43
47006,4,5,38
267301,5,6,44
655957,2,17,42
612588,4,15,4
318731,1,6,30
298359,2,16,3
91070,4,19,22
923176,2,10,30
139744,3,11,16
46584,1,9,39
993370,4,19,21
778906,2,12,4
590040,1,11,32
141117,3,2,13
428764,4,12,49
252566,1,17,34
663784,5,11,14
230819,1,19,41
584472,3,8,4
304355,5,4,3
313807,1,8,48
496721,2,11,26
356942,5,2,4
932625,3,10,1
709462,1,9,27
551247,4,11,34
72277,1,17,50
507865,2,18,39
212823,2,12,45
219292,4,18,48
846864,2,7,11
932559,5,5,50
551673,2,6,45
996013,1,18,6
250443,2,14,8
40788,1,19,16
821543,3,10,50
620319,4,20,19
66016,3,14,28
416128,4,13,4
202139,5,17,32
449690,2,13,48
715946,2,17,43
176892,3,16,7
181763,3,19,37
191705,5,2,9
755240,5,3,20
140156,1,15,48
163764,2,6,50
551237,3,16,5
261182,1,4,4
693432,3,8,50
608350,2,15,45
38727,3,8,33
466176,2,18,28
244704,3,8,37
469870,2,12,22
567073,5,11,36
927182,1,3,16
706290,1,15,18
347607,5,19,41
139637,3,7,8
259598,4,17,25
920284,2,15,48
720544,1,1,42
288293,4,19,50
880635,1,11,19
775519,4,3,12
289978,5,7,1
713816,3,15,44
903776,1,5,19
28079,2,3,37
947594,1,12,48
353841,5,6,24
524505,1,14,5
435226,2,2,20
614815,3,7,9
569120,2,16,14
210814,5,20,38
242964,2,10,46
285420,2,20,13
89079,5,15,15
894997,4,7,46
563687,5,9,19
287616,2,18,29
867369,4,2,29
925471,3,7,32
842160,2,6,9
235753,1,13,41
907045,5,20,23
327669,1,2,47
717725,3,13,16
685941,2,7,20
223961,2,11,23
805929,3,11,28
327304,5,17,49
262455,5,9,37
325770,4,5,33
589219,2,8,19
223201,2,19,40
416263,2,20,22
113415,5,15,34
478090,5,14,8
722156,4,2,47
218045,4,6,21
406560,2,3,32
111768,1,4,10
58383,2,6,37
856237,4,16,35
444171,1,1,14
754912,3,3,44
202112,5,2,1
65761,4,12,30
983747,3,16,32
266209,2,17,33
594034,5,18,2
299062,4,3,46
141710,3,10,19
425544,1,18,41
954142,1,5,32
835764,5,10,34
280622,4,12,30
99220,5,17,14
953772,2,6,1
953927,1,3,7
645001,1,14,1
941585,5,20,26
222527,2,15,19
510008,4,10,21
430502,4,18,38
784236,5,4,27
634215,2,11,44
537562,5,11,30
26015,4,5,10
625065,4,20,48
384283,1,10,15
797534,5,8,22
687117,4,15,2
76081,2,11,27
262063,2,7,17
158713,1,11,24
98416,1,10,7
753579,5,11,28
576011,4,18,47
166634,2,1,11
986756,4,13,27
187138,5,5,33
921029,1,2,19
701561,2,13,24
40168,1,7,27
766393,4,14,13
250663,1,7,17
101778,1,14,39
881736,2,3,10
870269,3,11,32
504219,5,2,10
983937,1,14,46
53558,1,14,11
436927,3,16,33
176491,3,10,13
665338,1,14,8
552040,1,9,50
777666,4,12,37
169024,4,19,25
565502,3,11,29
919778,1,10,3
407234,4,13,45
656930,4,6,11
986872,4,16,34
740933,3,19,30
471996,1,1,33
764256,1,18,45
275650,5,11,39
710477,4,6,21
238485,3,17,16
899943,3,4,38
668764,2,10,44
37995,3,12,27
93027,4,10,45
801274,5,16,1
624731,5,18,37
634466,5,17,40
147228,5,13,28
107009,3,9,41
877842,3,18,5
619731,4,5,16
942682,3,7,6
695193,2,3,39
889365,5,11,35
541266,2,5,4
546027,1,18,25
42338,2,15,10
570719,1,8,45
550637,2,20,25
870403,4,1,2
637671,2,14,23
257595,5,7,20
77688,3,18,29
440327,1,7,28
384874,3,13,9
765434,1,3,47
290089,3,15,5
483007,3,14,9
942227,1,18,34
53660,1,1,31
536928,3,1,14
500070,5,2,34
784193,3,14,38
363852,3,20,11
719888,3,4,24
624731,1,1,37
875182,3,5,13
112303,4,8,2
541952,2,8,8
605992,4,20,48
301824,3,14,42
351929,5,5,10
686598,2,10,17
288565,5,1,14
535759,2,7,22
71779,5,20,22
917652,2,2,4
771989,3,18,32
758463,1,13,3
875925,5,13,40
65674,3,13,3
354414,3,3,3
174701,1,12,29
345825,5,7,3
52459,1,10,1
467544,5,11,8
333910,4,17,47
690760,2,4,41
753971,2,18,16
650005,1,19,49
539135,5,4,13
829229,2,8,9
972638,3,18,24
283669,1,10,3
904633,3,17,10
262800,1,17,14
38949,3,16,32
671425,3,13,7
680131,4,10,14
748338,1,16,21
900867,3,3,27
997080,2,8,16
205726,1,1,15
235159,4,5,50
828369,3,15,15
641313,2,19,19
144268,3,11,30
633686,1,5,42
998005,1,18,16
692598,5,4,42
787245,4,8,39
688154,3,18,40
255501,1,7,49
409805,4,2,34
503894,1,1,4
306519,1,6,30
103499,5,20,35
889544,4,9,3
873539,2,18,36
992489,2,16,38
958496,2,7,9
989449,3,13,39
783763,2,14,21
667260,1,2,25
384959,1,17,6
790148,3,3,30
762883,1,1,37
813521,3,11,7
939367,3,4,29
407122,4,4,4
531621,4,12,15
166988,1,13,19
298845,5,13,6
923385,4,9,28
185932,1,16,47
583362,1,4,28
592916,3,17,17
315064,4,10,6
671998,5,13,50
681830,3,8,17
347131,3,17,24
765772,5,12,43
367846,2,12,26
866223,1,18,34
848238,2,1,46
958674,1,6,25
460809,1,11,48
230157,2,17,37
989499,1,9,15
262011,3,20,17
877547,3,1,13
541326,4,7,10
863595,1,3,14
679445,1,3,4
861694,4,4,39
625180,4,3,43
837562,3,11,24
160711,2,8,34
227282,3,6,46
394887,2,7,33
163900,5,12,7
783808,5,17,13
431033,1,2,46
205596,3,5,36
820284,5,18,15
858469,3,7,37
539617,4,4,39
100610,2,4,11
144961,2,8,9
64593,2,3,11
711556,1,13,11
735362,2,11,15
288721,3,20,39
933874,1,19,46
474500,5,19,38
611698,1,4,44
632846,4,4,18
486169,3,10,11
81262,3,13,42
976483,2,11,8
280565,4,18,31
630428,2,14,42
114082,2,12,1
756170,2,15,8
634467,1,19,24
124365,4,4,11
775620,2,16,24
558791,4,19,40
376688,2,1,43
655485,4,10,23
816087,2,5,30
297423,1,13,2
600015,1,18,17
582954,4,2,14
419238,2,2,7
402488,5,19,26
287519,3,11,17
63638,5,1,19
604436,3,15,44
602677,1,5,23
612306,3,12,1
305862,2,17,26
55061,3,10,27
121851,3,5,18
362241,5,2,5
869642,5,13,35
511175,2,16,17
48002,4,13,1
746818,1,13,17
251181,3,11,39
339597,1,16,1
519940,5,8,15
399642,5,18,47
503367,3,20,23
77745,5,14,35
567194,5,13,14
580646,2,5,30
664076,3,1,20
417812,3,16,42
863464,5,19,21
774096,2,12,47
91320,5,14,22
413478,3,15,25
150111,2,18,28
485202,3,20,23
904945,4,1,37
447556,2,8,1
864882,1,10,8
953250,5,6,30
369134,2,11,24
846504,3,7,18
595499,4,2,40
429854,2,9,25
875985,1,10,10
38707,4,5,28
193465,3,5,20
50234,1,4,23
175024,3,14,29
64085,2,20,23
866718,2,6,1
529183,4,7,37
84420,2,3,10
235333,4,9,24
293940,5,11,35
170763,1,5,40
